獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號
1,2,17,18,19,20,24,26,37,40,41,53,54,58,59,61,63,71,77,80,80
2,3,6,7,13,16,20,22,24,26,32,35,37,38,55,59,60,67,69,77,2
1,5,14,18,19,24,25,28,31,32,37,47,50,59,63,66,69,70,71,73,69
2,3,5,13,15,23,24,33,38,42,45,46,47,54,55,63,65,68,69,70,70
5,8,12,20,21,22,26,31,41,44,47,48,62,65,68,69,70,75,77,79,20
4,6,9,11,17,19,22,24,30,37,43,48,49,52,61,66,69,74,75,79,48
4,7,8,9,10,11,13,18,19,23,28,32,44,45,55,59,65,66,67,77,9
6,7,9,16,17,18,21,22,26,34,43,47,50,59,66,69,71,72,73,80,66
1,2,3,7,11,16,27,30,34,41,46,55,56,62,63,66,72,73,75,79,66
9,10,11,13,19,23,25,31,33,37,38,45,48,49,54,62,70,71,73,75,25
6,7,13,14,24,33,34,35,38,43,44,45,56,57,60,66,69,73,74,76,60
2,4,5,8,11,16,22,23,27,28,39,42,45,52,55,57,63,64,71,73,63
12,15,21,23,25,30,31,33,36,38,39,42,47,50,55,56,66,68,69,73,33
4,7,10,20,26,27,28,29,30,31,40,41,42,49,50,51,53,59,67,69,27
5,6,18,27,28,29,38,40,42,43,45,46,47,62,66,67,68,71,73,76,73
4,6,12,14,25,31,35,37,41,43,48,49,50,51,53,57,65,69,74,76,53
8,9,10,22,24,31,34,35,36,49,53,54,55,58,61,70,71,72,74,80,61
2,10,13,18,26,27,31,35,36,40,41,49,52,55,61,62,64,71,75,79,13
6,13,16,23,26,27,30,43,44,46,49,50,58,61,63,65,66,73,76,80,63
1,13,15,28,29,34,35,36,39,45,48,59,63,64,65,67,68,72,75,76,67
3,9,10,14,17,18,24,25,41,48,58,64,65,68,69,70,71,75,76,77,9
6,7,8,11,14,17,25,33,34,38,39,41,43,44,47,57,60,66,67,75,44
3,5,8,15,16,29,31,33,38,39,45,47,51,56,57,61,62,71,72,75,39
1,4,21,22,31,34,37,38,48,49,50,51,55,57,59,65,67,68,74,78,74
1,16,17,24,28,32,36,44,51,53,58,61,62,63,66,67,68,72,77,80,53
3,11,15,19,21,23,31,32,33,41,43,45,48,51,54,55,57,70,73,79,15
2,3,8,9,12,13,14,17,19,38,43,48,56,58,65,66,68,74,76,79,65
1,3,7,9,16,20,22,27,29,31,32,34,41,45,48,50,55,70,71,74,31
3,5,7,14,15,17,18,19,23,27,30,42,44,46,47,53,63,71,76,80,15
6,14,21,22,23,25,28,29,30,36,37,40,42,45,51,54,73,75,76,80,29
3,5,7,8,9,14,16,17,20,25,36,40,42,48,51,53,63,67,74,79,63
8,12,14,17,21,24,27,28,30,31,40,41,53,64,67,68,71,76,79,80,41
3,4,6,10,17,21,22,33,35,39,41,44,49,50,55,56,57,70,76,78,21
6,8,10,11,17,21,25,28,30,33,50,55,60,61,62,66,76,77,78,79,79
2,3,5,9,10,14,16,21,36,43,45,51,52,54,61,71,73,74,79,80,36
3,5,10,13,15,16,17,22,28,33,35,49,51,59,61,64,65,66,71,74,59
2,3,4,5,7,9,13,14,16,31,34,49,52,59,60,61,70,72,75,79,14
12,14,16,21,22,23,27,30,37,39,42,46,50,51,54,57,72,74,75,76,50
2,5,8,16,18,22,23,28,29,31,34,47,52,53,55,60,64,71,72,79,29
3,7,10,12,23,25,29,33,37,43,47,50,54,58,59,63,70,72,77,80,3
5,6,10,18,19,26,27,32,34,37,39,40,43,50,57,61,62,66,76,80,5
1,2,3,6,7,17,21,23,25,31,40,41,45,49,55,57,62,65,66,67,55
1,2,7,19,23,31,32,40,41,45,52,53,54,58,68,71,72,76,77,79,1
3,6,9,11,13,14,22,24,26,32,36,46,49,57,61,64,66,67,73,78,6
4,8,15,26,27,29,31,34,37,38,43,45,48,52,57,60,61,66,71,79,61
1,3,11,13,22,26,28,36,41,42,48,52,55,57,66,68,69,72,79,80,68
5,10,12,13,18,20,21,28,35,37,49,53,65,69,70,71,72,73,74,80,20
7,9,15,17,18,19,23,24,30,39,42,43,49,55,56,59,62,64,66,73,9
2,6,7,12,15,16,35,41,43,54,57,64,68,71,72,73,77,78,79,80,72
9,11,14,18,23,48,50,52,53,54,58,59,60,61,62,68,72,74,78,80,18
1,5,9,12,13,14,19,21,22,24,30,37,45,52,65,69,75,76,78,80,78
1,3,14,15,16,20,21,22,24,26,32,44,45,52,55,61,64,66,68,75,14
3,8,9,11,12,16,24,27,35,36,37,44,46,56,61,64,73,77,79,80,35
7,11,16,21,25,36,38,39,44,45,47,51,55,61,64,66,69,70,72,80,61
1,4,10,11,13,16,21,22,24,27,28,29,35,40,50,57,65,70,72,80,28
3,4,5,9,10,12,19,23,29,31,38,44,58,59,65,68,69,77,78,79,65
3,4,6,11,12,14,15,22,31,37,49,52,59,60,63,64,66,68,70,76,52
3,12,14,15,20,26,28,37,39,45,46,48,50,59,61,62,70,73,74,80,12
1,4,7,20,24,28,34,40,42,51,54,57,58,59,62,67,71,72,74,76,57
3,6,9,18,23,27,28,29,32,35,36,43,46,57,63,68,69,71,72,77,43
4,9,20,26,34,35,38,44,47,49,57,58,59,60,62,66,67,69,71,73,49
6,18,21,22,23,27,32,33,36,40,45,51,56,57,58,59,62,68,73,80,23
1,2,5,10,11,15,18,21,23,24,31,45,46,58,59,60,68,73,78,79,73
2,3,7,13,23,26,28,38,49,50,53,58,61,64,73,74,75,76,78,80,74
3,5,15,16,18,25,30,33,36,37,39,41,45,46,48,57,60,63,68,80,41
1,2,4,5,7,11,14,17,23,28,31,40,43,59,62,68,72,75,79,80,43
6,7,11,15,19,21,24,25,27,30,40,45,46,48,52,55,58,59,63,76,24
8,24,28,32,35,38,40,42,43,45,46,48,50,55,59,60,66,68,69,78,78
1,4,7,9,10,16,23,24,25,27,30,31,32,35,36,41,44,46,60,75,44
1,5,10,12,21,26,28,30,37,45,49,50,51,53,60,61,63,67,68,78,30
9,10,14,15,18,23,28,31,44,47,48,53,54,55,60,63,64,70,72,73,28
4,5,16,17,18,21,33,40,41,47,49,51,52,53,67,68,69,74,79,80,16
3,7,8,12,23,24,27,34,36,46,48,53,56,57,58,63,65,70,75,77,56
2,4,9,16,20,21,23,26,40,42,51,53,55,57,60,62,63,67,71,79,40
8,13,14,20,29,30,31,34,48,54,58,62,65,66,67,68,70,71,75,78,48
4,15,17,24,33,44,45,47,49,51,55,58,63,64,66,68,69,70,73,78,73
2,3,5,17,19,26,27,31,35,38,43,47,48,56,57,61,63,69,76,80,27
2,5,17,18,19,26,27,34,36,39,43,45,50,59,60,63,68,72,77,79,45
1,7,11,13,17,30,32,37,44,46,49,50,51,52,55,56,59,60,68,71,1
1,2,4,6,12,13,17,24,27,28,29,31,34,45,46,67,70,76,77,78,2
1,6,7,9,26,27,28,35,37,40,42,49,52,53,54,55,62,69,73,76,27
6,9,11,25,26,30,31,32,35,46,47,48,51,52,60,63,67,74,77,80,52
6,8,13,18,21,26,38,44,45,48,51,52,53,55,59,63,65,69,74,79,13
1,2,23,26,33,35,36,38,40,42,45,47,52,54,57,58,60,61,71,73,26
4,7,12,14,15,16,18,23,29,32,43,45,48,55,59,65,69,74,76,77,59
1,13,16,17,18,23,30,32,33,36,37,38,39,40,59,61,63,67,69,80,30
3,6,8,9,10,14,24,25,27,28,32,37,46,51,53,55,59,60,77,79,60
1,7,10,11,12,14,15,20,31,33,37,43,46,52,57,58,63,69,71,77,20
1,3,5,9,10,15,19,24,25,27,28,30,39,41,45,52,63,67,74,79,45
2,4,7,13,16,17,19,23,26,28,31,34,37,39,41,42,45,61,63,77,16
1,3,10,15,17,18,25,29,30,31,39,41,47,56,58,73,76,77,79,80,77
2,4,6,16,23,26,31,32,38,39,48,57,58,62,64,65,67,69,73,77,58
1,7,8,9,16,18,19,24,26,27,29,34,38,49,52,54,56,67,71,74,26
